,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
180,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
181,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
182,,800-200012.02,,CNX24904XK,CHN,,2,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
183,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
184,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
185,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
186,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
187,,800-200012.02,,CNX24904XK,CHN,,3,,,3,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
188,,800-200012.02,,CNX24904XK,CHN,,0,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
189,,800-200012.02,,CNX24904XK,CHN,,0,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
190,,800-200012.02,,CNX24904XK,CHN,,0,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
191,,800-200012.02,,CNX24904XK,CHN,,0,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
192,,800-200012.02,,CNX24904XK,CHN,,0,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
193,,800-200012.02,,CNX24904XK,CHN,,1,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
194,,800-200012.02,,CNX24904XK,CHN,,1,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
195,,800-200012.02,,CNX24904XK,CHN,,1,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
196,,800-200012.02,,CNX24904XK,CHN,,1,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
197,,800-200012.02,,CNX24904XK,CHN,,1,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
198,,800-200012.02,,CNX24904XK,CHN,,2,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
199,,800-200012.02,,CNX24904XK,CHN,,2,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
200,,800-200012.02,,CNX24904XK,CHN,,2,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
201,,800-200012.02,,CNX24904XK,CHN,,2,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
202,,800-200012.02,,CNX24904XK,CHN,,2,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
203,,800-200012.02,,CNX24904XK,CHN,,3,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
204,,800-200012.02,,CNX24904XK,CHN,,3,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z47A,DCN5
205,,800-200012.02,,CNX24904XK,CHN,,3,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
206,,800-200012.02,,CNX24904XK,CHN,,3,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
207,,800-200012.02,,CNX24904XK,CHN,,3,,,2,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
208,,800-200012.02,,CNX24904XK,CHN,,0,,,2,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
209,,800-200012.02,,CNX24904XK,CHN,,0,,,2,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z47A,DCN5
